"name","phoneNumber","address","rating","reviews","services"
"Balaji laundry & dry clean","088605 82001","near garima dental, DLF Colony, Sector 14, Gurugram, Haryana 122007","4.7","38","Services: Delivery,Dry cleaning,Ironing,Laundry pick-up,Laundry wash and fold,premium laundry,Ultra premium"
"Tumbledry Dry Clean & Laundry Service","076772 50250","Shop No. 19, 1st Floor B, Block Shopping Plaza, Orchid Petals, South City II, Sector 49, Gurugram, Haryana 122018","3.4","107","Services: Carpet and rug cleaning,Dry cleaning,Art Dry Cleaning,Bag Cleaning,Blanket & Quilt Dry Cleaning,Canvas Shoes Dry Cleaning,Carpet Cleaning,Carpet Dry Cleaning,Coat & Blazer Dry Cleaning,Color Enhancement After Dry Cleaning,Curtain & Blinds Dry Cleaning,Curtain Dry Cleaning Service,Curtain Ring Replacement,Customized Treatment,Damaged Collar Replacement,Darning,Deep Cleaning,Designer Wear,Dry Cleaning & Laundry,Dry Cleaning Facility,Free Pickup,Hand Bag Dry Cleaning,Haute Couture Dry Cleaning,Heel Replacement,Inner Lining Replacement,Inner Sole Replacement,Jacket Dry Cleaning,Laces Replacement,Leather & Suede,Leather & Suede Shoes Dry Cleaning,Leather Bag Dry Cleaning,Leather Dry Cleaning,Lehenga & Bridal Wear Dry Cleaning,Packing,Re Coloring,Saree Dry Cleaning,Silk Sarees,Soft Toys Dry Cleaning,Sole Pasting,Sorting & Inspection,Sport Shoes Dry Cleaning,Stain Removal,Stain Treatment,Whitening After Dry Cleaning,Women Kurta & Salwar Dry Cleaning,Woolen & Shawl Dry Cleaning,Woolen Garments,Woolens Dry Cleaning,Steam Ironing,Wash & Fold,Wash & Steam Iron"
"Laundry Service in Gurgaon - Happy Indoors","088609 90660","C-69, Street Number 7, West Rajiv Nagar, Sector 12, Gurugram, Haryana 122001","3.7","94","Services: Ironing,General clothes drying,Laundry wash and fold,Self-service laundry,Delivery,Dry cleaning,Laundry pick-up,Doorstep Laundry,Express Laundry Services,Home Services,Laundered Clothes,Normal Washing,Online Laundry Service,Premium Laundry,Typical Laundry,Wash And Iron,Wash Your,Washing Clothes,Washing Machines,Cleaning"
"Pick My Laundry Sector 46 gurgaon","099715 22720","Shop number 27, Huda Colony, Sector 46, Gurugram, Haryana 122001","4.2","38","Services: Ironing,Laundry wash and fold,Car wash,Carpet and rug cleaning,Couches/sofas,Coat & jacket alterations,Special care fabric cleaning,Leather and suede cleaning,Jackets,Delivery,Online dry cleaner booking,Dry cleaning,Laundry pick-up,Commercial service,Wedding gown preservation,Car Cleaning,Car Wash,Carpet Dry Cleaning,Free Pick And Drop,Home Cleaning,Laundry & Dry Cleaning,Laundry Wash & Fold,Pick Up,Pickup And Drop,Premium Laundry,Premium Washing,Shoe Dry Cleaning,Sofa Cover Dry Cleaning,Steam Pressing,Wash & Iron,Washing And Dry Cleaning,Washing Clothes,Washing Machines,clothes washing and iron,clothing,fabric softner,near by dry cleaning,pick up and drop laundry,silk, wool, polyester, cotton, linen, viscose, towels,,wash and fold,wash and iron"
"Super Shaine Dry Cleaners - Dry cleaners , laundry services in sector 10 Gurgaon","085270 08236","Shop No, 43, HUDA Market Rd, market of sector 10A, Sector 10A, Gurugram, Haryana 122006","4.3","43","N/A"
"Pick My Laundry","099715 22720","Peach Tree Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122022","2.8","226","Services: Ironing,General clothes drying,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Delivery,Laundry pick-up,Antiseptic Wash,Car Cleaning,Car Wash,Carpet Dry Cleaning,Chemical Cleaning,Express Delivery,Fabric Softener,Home Cleaning,Laundry & Dry Cleaning,Laundry Wash & Fold,Online Laundry Services,Pick And Drop,Pick Up,Pickup And Drop,Premium Laundry,Premium Washing,Shoe Dry Cleaning,Sofa Cover Dry Cleaning,Steam Press,Wash & Iron,Washing And Dry Cleaning,Washing Clothes,Washing Machines,Winter Wears"
"Straits Laundry","N/A","Shop No. 81 Eros City Square Mall, Sector 49, Gurugram, Haryana 122018","4.8","28","Services: Ironing,General clothes drying,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Clean Laundry,Cleaning Equipment,Coin Laundry,Commercial Laundry,Design Services,Dry Cleaning,Fold Services,Hospitality Laundry,Housing Laundry,Kids Wear Laundry,Machines Clean,Pet Clothes Cleaning,Shoe Cleaning,Wash And Dry,Wet Cleaning,Windows Clean"
"master cleaners laundry","099715 56690","Shop No. 4-A Plot No. 88, near Baani Square, Block B, Sector 50, Gurugram, Haryana 120018","5.0","96","Services: Ironing,General clothes drying,Leather and suede cleaning,Delivery,Dry cleaning,Laundry pick-up,Wedding gown preservation,Carpet Cleaning,Clothes Clean,Clothes Washer,Dry Cleaner,Dry Cleaning Laundry,Free Pickup And Delivery,Home Cleaning,Laundry By Kg,Online Dry Cleaning Service,Online Laundry Service,Premium Dry,Regular Laundry,Wash & Iron,Wash Your,carpet clean,sofa cleanig,wash and fold,wash with iron"
"Sunshine- Laundry Service Gurgaon - Dry Clean Shop free Pick and Drop Gurgaon","088827 69479","Gali Number 3, Ram Vihar, Sector 104, Gurugram, Haryana 122001","5.0","15","Services: General clothes drying,Laundry wash and fold,Self-service laundry,Leather and suede cleaning,Dry cleaning,Bag Cleaning,Carpet Cleaning,Clean Only,Clean Your Clothes,Cleaning And Laundry,Cleaning Process,Curtain Cleaning,Darning (Raffu),Dry Cleaning,Express Laundry,Kg Wash,Laundry And Dry,Leather Cleaning,Online Laundry,Premium Laundry,Shoe Laundry,Sofa Dryclean,Spot Cleaning,Steam Cleaning,Wash & Fold,Wash & Iron,Wet Washing,Woollen Clothes,Woollen Laundry"
"R.J Daily Wash Laundry & Dryclean","090346 64759","Shop no. 7, Gali Number 2, rattan market, Tikri, Sector 48, Gurugram, Haryana 122001","5.0","11","Services: Dry cleaning,General clothes drying,Ironing,Laundry pick-up,Laundry wash and fold"
"TSM SUPERFINE LAUNDRY & DRY-CLEANING","073762 04317","Near, Kali Mata Mandir Rd, New Basti, Nai basti, Gurugram, Haryana 122001","4.8","16","Services: Ironing,Clothing alterations & repairs,Laundry wash and fold,Carpet and rug cleaning,Couches/sofas,Coat & jacket alterations,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Jackets,Delivery,Online dry cleaner booking,Dry cleaning,Drapery & window cover cleaning,Alterations,Laundry pick-up,Commercial service,Wedding gown preservation,Blankets dry-cleaning"
